REGIÃO/UF,1976/77,1977/78 ,1978/79,1979/80,1980/81,1981/82,1982/83,1983/84,1984/85,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11    ,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22 Previsão (¹)
NORTE,,,,,,,,,, 0.5 , 1.1 , 54.7 , 135.6 , 53.2 , 11.5 , 19.4 , 36.4 , 59.0 , 45.5 , 14.2 , 28.6 , 99.8 , 123.2 , 150.7 , 216.6 , 369.0 , 557.5 , 913.7 ," 1,419.9 "," 1,255.2 "," 1,079.9 "," 1,472.4 "," 1,414.0 "," 1,691.7 "," 1,977.2 "," 2,172.2 "," 2,661.5 "," 3,391.6 "," 4,289.5 "," 3,818.9 "," 5,536.5 "," 6,012.6 "," 6,147.0 "," 6,902.1 "," 7,384.0 "," 8,365.0 "
RR,,,,,,,,,,,,,,,,,, 16.8 ,, 4.9 ,,,,0.0,, 8.4 , 7.2 , 28.8 , 56.0 , 28.0 , 15.4 , 48.8 , 22.4 , 3.9 , 10.4 , 10.4 , 33.6 , 56.4 , 63.9 , 79.2 , 90.0 , 117.5 , 108.0 , 151.6 , 210.0 , 285.0 
RO,,,,,,,,,, 0.5 , 1.1 , 7.7 , 31.2 , 15.6 , 5.0 , 0.2 , 10.8 ,, 13.0 ,, 8.9 , 14.1 , 26.1 , 35.4 , 76.5 , 89.2 , 123.0 , 177.9 , 227.2 , 283.0 , 277.5 , 311.6 , 326.5 , 384.3 , 425.3 , 462.2 , 539.3 , 607.7 , 732.9 , 765.0 , 930.3 ," 1,095.2 "," 1,109.2 "," 1,233.7 "," 1,375.1 "," 1,668.8 "
AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1.5 , 4.4 , 11.8 , 16.4 , 20.4 
AM,,,,,,,,,,,,,,,,,,,,,,,,,, 1.6 , 5.4 , 5.4 , 8.4 , 5.7 ,,,,,,,,,,,, 3.4 , 5.3 , 5.3 , 12.9 , 13.5 
AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 54.4 , 58.3 , 57.5 , 59.3 , 12.8 , 17.2 
PA,,,,,,,,,,,,,,,,,,,,,, 5.5 , 3.3 , 4.9 , 1.5 , 7.3 , 44.2 , 95.0 , 207.0 , 238.1 , 140.5 , 201.1 , 208.7 , 232.5 , 314.4 , 316.7 , 552.2 , 668.6 ," 1,017.0 "," 1,288.0 "," 1,635.3 "," 1,596.6 "," 1,708.9 "," 1,859.3 "," 2,230.8 "," 2,500.0 "
TO,,,,,,,,,,,, 47.0 , 104.4 , 37.6 , 6.5 , 19.2 , 25.6 , 42.2 , 32.5 , 9.3 , 19.7 , 80.2 , 93.8 , 110.4 , 138.6 , 262.5 , 377.7 , 606.6 , 921.3 , 700.4 , 646.5 , 910.9 , 856.4 ," 1,071.0 "," 1,227.1 "," 1,382.9 "," 1,536.4 "," 2,058.8 "," 2,475.7 "," 1,686.7 "," 2,826.4 "," 3,140.2 "," 3,153.7 "," 3,581.1 "," 3,526.0 "," 3,860.1 "
NORDESTE,,,, 2.2 , 3.8 , 0.4 , 4.5 , 36.4 , 84.6 , 155.5 , 156.3 , 374.9 , 638.7 , 267.8 , 564.3 , 520.3 , 682.1 ," 1,018.4 "," 1,267.8 ", 921.9 ," 1,300.1 "," 1,561.1 "," 1,609.8 "," 2,064.0 "," 2,075.9 "," 2,096.0 "," 2,519.3 "," 3,538.9 "," 3,953.1 "," 3,560.9 "," 3,867.2 "," 4,829.8 "," 4,161.9 "," 5,309.5 "," 6,251.5 "," 6,096.3 "," 5,294.8 "," 6,654.0 "," 8,114.1 "," 5,107.1 "," 9,644.7 "," 11,903.1 "," 11,034.9 "," 11,819.6 "," 12,852.2 "," 14,088.3 "
MA,,,,,,,,, 9.0 , 13.6 , 8.8 , 29.2 , 37.2 , 6.7 , 8.3 , 25.3 , 91.2 , 138.2 , 169.6 , 199.6 , 252.0 , 302.4 , 390.5 , 439.3 , 483.0 , 540.9 , 654.9 , 924.1 , 997.5 ," 1,025.1 "," 1,084.0 "," 1,262.8 ", 975.1 ," 1,330.6 "," 1,599.7 "," 1,650.6 "," 1,685.9 "," 1,856.8 "," 2,099.6 "," 1,250.2 "," 2,473.3 "," 3,025.8 "," 2,992.1 "," 3,130.3 "," 3,285.6 "," 3,973.2 "
